"measure_ID","measure_name","measure_shortName","indicator_ID","indicator_name","indicator_shortName","content_area_ID","content_area_name","content_area_shortName"
386,"Age-Adjusted incidence rate of Melanoma of the Skin per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"72",NA,NA,NA
387,"Age-adjusted incidence rate of Melanoma of the Skin per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"72",NA,NA,NA
388,"Annual number of cases of Kidney and Renal Pelvis Cancer","Annual number of cases",NA,NA,"73",NA,NA,NA
389,"Average annual number of cases of Kidney and Renal Pelvis Cancer over a five year period","Average annual number of cases over a 5 year period",NA,NA,"73",NA,NA,NA
390,"Age-Adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"73",NA,NA,NA
391,"Age-adjusted incidence rate of Kidney and Renal Pelvis Cancer per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"73",NA,NA,NA
392,"Annual number of cases of Liver and Intrahepatic Bile Duct Cancer","Annual number of cases",NA,NA,"74",NA,NA,NA
393,"Average annual number of cases of Liver and Intrahepatic Bile Duct Cancer over a five year period","Average annual number of cases over a 5 year period",NA,NA,"74",NA,NA,NA
394,"Age-Adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"74",NA,NA,NA
395,"Age-adjusted incidence rate of Liver and Intrahepatic Bile Duct Cancer per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"74",NA,NA,NA
396,"Estimated number of  all-cause deaths avoided","Estimated number of  all-cause deaths avoided",NA,NA,"75",NA,NA,NA
397,"Estimated percent change in all-cause death rate from baseline","Estimated percent change in all-cause death rate from baseline",NA,NA,"75",NA,NA,NA
398,"Ranked groupings of counties based on percent change in all-cause death rate from baseline","Ranked groupings of counties based on percent change in all-cause death rate from baseline",NA,NA,"75",NA,NA,NA
413,"Number of children tested","Number of children tested",NA,NA,"77",NA,NA,NA
414,"Percent of children tested","Percent of children tested",NA,NA,"77",NA,NA,NA
415,"Number of children tested with confirmed  blood lead levels of 10 µg/dL or greater","Number of children tested with confirmed  blood lead levels of 10 µg/dL or greater",NA,NA,"77",NA,NA,NA
416,"Percent of children tested with confirmed blood lead levels of 10 µg/dL or greater","Percent of children tested with confirmed blood lead levels of 10 µg/dL or greater",NA,NA,"77",NA,NA,NA
418,"Percent of adults who ever smoked (2000-2010)","Percent of adults who ever smoked (2000-2010)",NA,NA,"78",NA,NA,NA
420,"Percent of current adult smokers(2000-2010)","Percent of current adult smokers(2000-2010)",NA,NA,"78",NA,NA,NA
422,"Percent of former adult smokers(2000-2010)","Percent of former adult smokers(2000-2010)",NA,NA,"78",NA,NA,NA
423,"Number of extreme heat days","Number of extreme heat days",NA,NA,"105",NA,NA,NA
423,"Number of extreme heat days","Number of extreme heat days",NA,NA,"79",NA,NA,NA
424,"Dates of extreme heat days","Dates of extreme heat days",NA,NA,"79",NA,NA,NA
425,"Number of extreme heat events","Number of extreme heat events",NA,NA,"105",NA,NA,NA
425,"Number of extreme heat events","Number of extreme heat events",NA,NA,"79",NA,NA,NA
426,"Dates of extreme heat events","Dates of extreme heat events",NA,NA,"79",NA,NA,NA
427,"Number of people living within a half mile of a park","Number of population living within half a mile of a park",NA,NA,"80",NA,NA,NA
428,"Percent of population living within a half mile of a park","Percentage of population living within half a mile of a park",NA,NA,"80",NA,NA,NA
431,"Number of hospitalizations for heat stress","Number of hospitalizations for heat stress",NA,NA,"88",NA,NA,NA
432,"Crude rate of hospitalizations for heat stress per 100,000 population","Crude rate of hospitalizations for heat stress",NA,NA,"88",NA,NA,NA
433,"Age-adjusted rate of hospitalizations for heat stress per 100,000 population","Age-adjusted rate of hospitalizations for heat stress",NA,NA,"88",NA,NA,NA
434,"Number of emergency department visits for asthma","Number of emergency department visits for asthma",NA,NA,"90",NA,NA,NA
436,"Crude rate of emergency department visits for asthma per 10,000 population","Crude rate of emergency department visits for asthma",NA,NA,"90",NA,NA,NA
437,"Age-adjusted rate of emergency department visits for asthma per 10,000 population","Age-adjusted rate of emergency department visits for asthma",NA,NA,"90",NA,NA,NA
438,"Number of emergency department visits for heat stress","Number of emergency department visits for heat stress",NA,NA,"89",NA,NA,NA
439,"Crude rate of emergency department visits for heat stress per 100,000 population","Crude rate of emergency department visits for heat stress",NA,NA,"89",NA,NA,NA
440,"Age-adjusted rate of emergency department visits for heat stress per 100,000 population","Age-adjusted rate of emergency department visits for heat stress",NA,NA,"89",NA,NA,NA
477,"Annual average cancer risk estimates per million","Annual average cancer risk estimates per million",NA,NA,"81",NA,NA,NA
478,"Annual average air concentration estimates in microgram per cubic meter","Annual average air concentration estimates in microgram per cubic meter",NA,NA,"81",NA,NA,NA
479,"Percent of cancer risk estimates by source","Percent of cancer risk estimates by source",NA,NA,"81",NA,NA,NA
480,"Percent of cancer risk estimates from all sources","Percent of cancer risk estimates from all sources",NA,NA,"81",NA,NA,NA
481,"Annual number of Oral/Pharynx cases of Cancer","Annual number of cases",NA,NA,"91",NA,NA,NA
482,"Average annual number of cases of Oral/Pharynx Cancer over a five year period","Average annual number of cases over a 5 year period",NA,NA,"91",NA,NA,NA
483,"Age-Adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"91",NA,NA,NA
484,"Age-adjusted incidence rate of Oral/Pharynx Cancer per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"91",NA,NA,NA
485,"Annual number of cases of Esophageal Cancer","Annual number of cases",NA,NA,"92",NA,NA,NA
486,"Average annual number of cases of Esophageal Cancer over a five year period","Average annual number of cases over a 5 year period",NA,NA,"92",NA,NA,NA
487,"Age-Adjusted incidence rate of Esophageal Cancer per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"92",NA,NA,NA
488,"Age-adjusted incidence rate of Esophageal Cancer per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"92",NA,NA,NA
489,"Annual number of cases of Pancreas Cancer","Annual number of cases",NA,NA,"93",NA,NA,NA
490,"Average annual number of cases of Pancreas Cancer over a five year period","Average annual number of cases over a 5 year period",NA,NA,"93",NA,NA,NA
491,"Age-Adjusted incidence rate of Pancreas Cancer per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"93",NA,NA,NA
492,"Age-adjusted incidence rate of Pancreas Cancer per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"93",NA,NA,NA
493,"Annual number of cases of Larynx Cancer","Annual number of cases",NA,NA,"94",NA,NA,NA
494,"Average annual number of cases of Larynx Cancer over a five year period","Average annual number of cases over a 5 year period",NA,NA,"94",NA,NA,NA
495,"Age-Adjusted incidence rate of Larynx Cancer per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"94",NA,NA,NA
496,"Age-adjusted incidence rate of Larynx Cancer per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"94",NA,NA,NA
497,"Number of children tested with blood lead levels between 5 and less than 10 µg/dL","Number of children tested with blood lead levels between 5 and less than 10 µg/dL",NA,NA,"77",NA,NA,NA
498,"Percent of children tested with blood lead levels between 5 and less than 10 µg/dL","Percent of children tested with blood lead levels between 5 and less than 10 µg/dL",NA,NA,"77",NA,NA,NA
499,"Number of children born in the same year and tested for lead poisoning before age 3 with blood lead levels between 5 and <10 µg/dL","Number of children tested with blood lead levels between 5 and less than 10 µg/dL",NA,NA,"33",NA,NA,NA
500,"Percent of children born in the same year and tested for lead poisoning before age 3 with blood lead levels between 5 and <10 µg/dL","Percent of children tested with blood lead levels between 5 and less than 10 µg/dL",NA,NA,"33",NA,NA,NA
501,"Estimated number of  Coronary Heart Disease deaths avoided","Estimated number of  CAD deaths avoided",NA,NA,"75",NA,NA,NA
502,"Estimated percent change in Coronary Heart Disease death rate from baseline","Estimated percent change in CAD death rate from baseline",NA,NA,"75",NA,NA,NA
503,"Ranked groupings of counties based on percent change in Coronary Artery Disease death rate from baseline","Ranked groupings of counties based on percent change in CAD death rate from baseline",NA,NA,"75",NA,NA,NA
505,"Number of Reported Exposures to All Pesticides","Number of Exposures to All Pesticides",NA,NA,"95",NA,NA,NA
506,"Rate of Reported Exposures to All Pesticides per 100,000 people","Rate of Exposure to All Pesticides per 100,000 people",NA,NA,"95",NA,NA,NA
507,"Number of Reported Exposures to Disinfectants","Number of Exposures to Disinfectants",NA,NA,"95",NA,NA,NA
508,"Rate of Reported Exposures to Disinfectants per 100,000 people","Rate of Exposure to Disinfectants per 100,000 people",NA,NA,"95",NA,NA,NA
509,"Number of Reported Exposures to Fumigants","Number of Exposures to Fumigants",NA,NA,"95",NA,NA,NA
510,"Rate of Reported Exposures to Fumigants per 100,000 people","Rate of Exposure to Fumigants per 100,000 people",NA,NA,"95",NA,NA,NA
511,"Number of Reported Exposures to Fungicides","Number of Exposures to Fungicides",NA,NA,"95",NA,NA,NA
512,"Rate of Reported Exposures to Fungicides per 100,000 people","Rate of Exposure to Fungicides per 100,000 people",NA,NA,"95",NA,NA,NA
513,"Number of Reported Exposures to Herbicides","Number of Exposures to Herbicides",NA,NA,"95",NA,NA,NA
514,"Rate of Reported Exposures to Herbicides per 100,000 people","Rate of Exposure to Herbicides per 100,000 people",NA,NA,"95",NA,NA,NA
515,"Number of Reported Exposures to Insecticides","Number of Exposures to Insecticides",NA,NA,"95",NA,NA,NA
516,"Rate of Reported Exposures to Insecticides per 100,000 people","Rate of Exposure to Insecticides per 100,000 people",NA,NA,"95",NA,NA,NA
517,"Number of Reported Exposures to Repellents","Number of Exposures to Repellents",NA,NA,"95",NA,NA,NA
518,"Rate of Reported Exposures to Repellents per 100,000 people","Rate of Exposure to Repellents per 100,000 people",NA,NA,"95",NA,NA,NA
519,"Number of Reported Exposures to Rodenticides","Number of Exposures to Rodenticides",NA,NA,"95",NA,NA,NA
520,"Rate of Reported Exposures to Rodenticides per 100,000 people","Rate of Exposure to Rodenticides per 100,000 people",NA,NA,"95",NA,NA,NA
521,"Number of Deaths from Exposures to All Pesticides","Number of Deaths from Exposures to All Pesticides",NA,NA,"96",NA,NA,NA
523,"Number of Major Effect Illnesses from Exposure to All Pesticides","Number of Major Effect Illnesses from Exposure to All Pesticides",NA,NA,"96",NA,NA,NA
525,"Number of Moderate Effect Illnesses from Exposure to All Pesticides","Number of Moderate Effect Illnesses from Exposure to All Pesticides",NA,NA,"96",NA,NA,NA
526,"Rate of Moderate Effect Illnesses from Exposure to All Pesticides per 100,000 people","Rate of Moderate Effect Illnesses from Exposure to All Pesticides per 100,000 people",NA,NA,"96",NA,NA,NA
527,"Number of Minor Effect Illnesses from Exposure to All Pesticides","Number of Minor Effect Illnesses from Exposure to All Pesticides",NA,NA,"96",NA,NA,NA
528,"Rate of Minor Effect Illnesses from Exposure to All Pesticides per 100,000 people","Rate of Minor Effect Illnesses from Exposure to All Pesticides per 100,000 people",NA,NA,"96",NA,NA,NA
529,"Number of No Effect Illnesses from Exposure to All Pesticides","Number of No Effect Illnesses from Exposure to All Pesticides",NA,NA,"96",NA,NA,NA
530,"Rate of No Effect Illnesses from Exposure to All Pesticides per 100,000 people","Rate of No Effect Illnesses from Exposure to All Pesticides per 100,000 people",NA,NA,"96",NA,NA,NA
531,"Number of Unable to Follow-Potentially Toxic Illnesses from Exposure to All Pesticides","Number of Unable to Follow-Potentially Toxic Illnesses from Exposure to All Pesticides",NA,NA,"96",NA,NA,NA
532,"Rate of Unable to Follow-Potentially Toxic Illnesses from Exposure to All Pesticides per 100,000 people","Rate of Unable to Follow-Potentially Toxic Illnesses from Exposure to All Pesticides per 100,000 people",NA,NA,"96",NA,NA,NA
533,"Projected Number of Future Extreme Heat Days","Projected Number of Future Extreme Heat Days",NA,NA,"97",NA,NA,NA
536,"Projected Number of Future Extreme Heat Nights","Projected Number of Future Extreme Heat Nights",NA,NA,"97",NA,NA,NA
538,"Number of children aged 5 to 9 years living within a half mile of a public elementary school","Number of population aged 5 to 9 years that resides within half a mile of a public elementary school",NA,NA,"80",NA,NA,NA
539,"Percent of population aged 5 to 9 years living within a half mile of a public elementary school","Percentage of population aged 5 to 9 years that resides within half a mile of a public elementary school",NA,NA,"80",NA,NA,NA
540,"Percent of adults aged 18 years and over who were obese (BMI=30.0 to 99.8) 2000 - 2010","Percent of adults who were obese (BMI=30.0 to 99.8) 2000 - 2010",NA,NA,"98",NA,NA,NA
541,"Percent of adults aged 18 years and over who were overweight (BMI=25.0 to 29.9) 2000 - 2010","Percent of adults who were overweight (BMI=25.0 to 29.9) 2000 - 2010",NA,NA,"98",NA,NA,NA
545,"Number of public schools located within 150m of a highway","Number of schools proximity to highway",NA,NA,"99",NA,NA,NA
546,"Percent of public schools located within 150m of a highway","Percent of schools proximity to highway",NA,NA,"99",NA,NA,NA
547,"Number of people living within 150m of a highway","Number of people proximity to highway",NA,NA,"99",NA,NA,NA
548,"Percent of population living within 150m of a highway","Percent of population proximity to highway",NA,NA,"99",NA,NA,NA
549,"Number of deaths from Ischemic Heart Disease among persons 35 and older","Number of deaths from Ischemic Heart Disease",NA,NA,"100",NA,NA,NA
550,"Crude death rate from Ischemic Heart Disease among persons 35 and older per 100,000 population","Crude mortality from Ischemic Heart Disease",NA,NA,"100",NA,NA,NA
551,"Age-adjusted death rate from Ischemic Heart Disease among persons 35 and older per 100,000 population","Age-adjusted mortality from Ischemic Heart Disease (IHD)",NA,NA,"100",NA,NA,NA
552,"Number of deaths from Heart Attack among persons 35 and older","Number of deaths from Heart Attack",NA,NA,"101",NA,NA,NA
553,"Crude death rate from Heart Attack among persons 35 and older per 100,000 population","Crude mortality from Heart Attack",NA,NA,"101",NA,NA,NA
554,"Age-adjusted death rate from Heart Attack among persons 35 and older per 100,000 population","Age-adjusted mortality from Heart Attack",NA,NA,"101",NA,NA,NA
555,"Number of Reported Acute Toxic Substance Release Incidents","Number of Reported Acute Toxic Substance Release Incidents",NA,NA,"102",NA,NA,NA
556,"Percent of Reported Acute Toxic Substance Release Incidents with at Least One Injury or Fatality","Percent of Reported Acute Toxic Substance Release Incidents with at Least One Injury or Fatality",NA,NA,"102",NA,NA,NA
557,"Percent of Reported Acute Toxic Substance Release Incidents with Evacuation Ordered","Percent of Reported Acute Toxic Substance Release Incidents with Evacuation Ordered",NA,NA,"102",NA,NA,NA
558,"Rate of Injuries and Fatalities due to Reported Acute Toxic Substance Release Incidents per 100,000 population","Rate of Injuries and Fatalities due to Reported Acute Toxic Substance Release Incidents per 100,000 population",NA,NA,"102",NA,NA,NA
559,"Rate of Reported Acute Toxic Substance Release Incidents per 100,000 population","Rate of Reported Acute Toxic Substance Release Incidents per 100,000 population",NA,NA,"102",NA,NA,NA
560,"Percent of adults who ever smoked (2011 and onward)","Percent of adults who ever smoked (2011 and onward)",NA,NA,"78",NA,NA,NA
561,"Percent of current adult smokers(2011 and onward)","Percent of current adult smokers(2011 and onward)",NA,NA,"78",NA,NA,NA
562,"Percent of former adult smokers(2011 and onward)","Percent of former adult smokers(2011 and onward)",NA,NA,"78",NA,NA,NA
563,"Percent of adults aged 18 years and over who were overweight (BMI=25.0 to 29.9) 2011 and onward","Percent of adults who were overweight (BMI=25.0 to 29.9) 2011 and onward",NA,NA,"98",NA,NA,NA
564,"Percent of adults aged 18 years and over who were obese (BMI=30.0 to 99.8) 2011 and onward","Percent of adults who were obese (BMI=30.0 to 99.8) 2011 and onward",NA,NA,"98",NA,NA,NA
570,"Number of hospitals","Number of hospitals",NA,NA,"104",NA,NA,NA
570,"Number of hospitals","Number of hospitals",NA,NA,"145",NA,NA,NA
571,"Number of hospitals per 100,000 population","Number of hospitals per 100,000 population",NA,NA,"104",NA,NA,NA
571,"Number of hospitals per 100,000 population","Number of hospitals per 100,000 population",NA,NA,"145",NA,NA,NA
573,"Average annual number of deaths from CO poisoning over 5 year period","CO Poisoning Average Number of Deaths",NA,NA,"39",NA,NA,NA
574,"Crude death rate from CO poisoning per 100,000 population over 5 year period","CO Poisoning Crude Mortality",NA,NA,"39",NA,NA,NA
575,"Age-adjusted death rate from CO poisoning per 100,000 population over 5 year period","CO Poisoning Age Adjusted Mortality",NA,NA,"39",NA,NA,NA
576,"Number of extreme precipitation days","Number of extreme precipitation days",NA,NA,"108",NA,NA,NA
577,"Monthly estimates of precipitation","Monthly estimates of precipitation",NA,NA,"108",NA,NA,NA
578,"Projected number of future extreme precipitation days","Projected number of future extreme precipitation days",NA,NA,"107",NA,NA,NA
579,"Projected annual precipitation intensity","Projected annual precipitation intensity",NA,NA,"107",NA,NA,NA
580,"Projected ratio of precipitation falling as rain to that falling as snow","Projected ratio of rain to snow",NA,NA,"107",NA,NA,NA
581,"Number of square miles within FEMA designated flood hazard area","Total area (square miles) FEMA floodplain",NA,NA,"106",NA,NA,NA
582,"Percent area (square miles) within FEMA designated flood hazard area","Percent area (square miles) FEMA floodplain",NA,NA,"106",NA,NA,NA
583,"Number of people within FEMA designated flood hazard area","Population FEMA floodplain",NA,NA,"106",NA,NA,NA
584,"Number of housing units within FEMA designated flood hazard area","Housing units FEMA floodplain",NA,NA,"106",NA,NA,NA
585,"Percent of adults ever diagnosed with asthma (2011 and onward)","Percent of adults with diagnosed asthma (2011 and onward)",NA,NA,"54",NA,NA,NA
586,"Percent of adults ever diagnosed with asthma who report they currently have asthma (2011 and onward)","Percent of adults with current asthma (2011 and onward)",NA,NA,"54",NA,NA,NA
587,"Percent of children ever diagnosed with asthma (2011 and onward)","Percent of children with diagnosed asthma (2011 and onward)",NA,NA,"55",NA,NA,NA
588,"Percent of children ever diagnosed with asthma and currently have asthma (2011 and onward)","Percent of children with current asthma (2011 and onward)",NA,NA,"55",NA,NA,NA
589,"Percent of adults with active asthma diagnosed within the past 5 years (2011 and onward)","Percent of adults with active asthma diagnosed within the past 5 years (2011 and onward)  ",NA,NA,"54",NA,NA,NA
590,"Percent of adults with active asthma with an attack in the past year (2011 and onward)","Percent of adults with active asthma with an attack in the past year (2011 and onward)",NA,NA,"54",NA,NA,NA
591,"Percent of adults with active asthma with one or more routine doctor’s visit in the past year (2011 and onward)","Percent of adults with active asthma with one or more routine doctor’s visit in the past year (2011 and onward)",NA,NA,"54",NA,NA,NA
593,"Number of single-parent households","Number of single-parent households",NA,NA,"52",NA,NA,NA
594,"Percent of single-parent households","Percent of single-parent households",NA,NA,"52",NA,NA,NA
595,"Number of people aged five years and over that speak English less than ""Very Well""","Number of people aged five years and over that speak English less than ""Very Well""",NA,NA,"52",NA,NA,NA
596,"Percent of population aged five years and over that speak English less than ""Very Well""","Percent of population aged five years and over that speak English less than ""Very Well""",NA,NA,"52",NA,NA,NA
597,"Number of people aged 65 years and over living alone in a non-family household ","Number of people aged 65 years and over living alone",NA,NA,"52",NA,NA,NA
598,"Number of people aged 16 years and over who are unemployed","Number of people aged 16 years and over who are unemployed",NA,NA,"53",NA,NA,NA
599,"Percent of population aged 16 years and over who are unemployed","Percent of population aged 16 years and over who are unemployed",NA,NA,"53",NA,NA,NA
600,"Number of people aged 5 years and over with a disability","Number of people aged 5 years and over with a disability",NA,NA,"109",NA,NA,NA
601,"Percent of population aged 5 years and over with a disability","Percent of population aged 5 years and over with a disability",NA,NA,"109",NA,NA,NA
604,"Overall percentile vulnerability rank","Overall percentile vulnerability rank",NA,NA,"115",NA,NA,NA
605,"Socioeconomic percentile vulnerability rank","Socioeconomic percentile vulnerability rank",NA,NA,"115",NA,NA,NA
606,"Household composition/disability percentile rank","Household composition/disability percentile rank",NA,NA,"115",NA,NA,NA
607,"Minority status/language percentile rank","Minority status/language percentile rank",NA,NA,"115",NA,NA,NA
608,"Housing/transportation percentile rank","Housing/transportation percentile rank",NA,NA,"115",NA,NA,NA
613,"Number of housing units","Number of housing units",NA,NA,"110",NA,NA,NA
614,"Number of housing units with 10 or more units","Number of housing units with 10 or more units",NA,NA,"110",NA,NA,NA
615,"Number of housing units with more people than rooms","Number of housing units with more people than rooms",NA,NA,"110",NA,NA,NA
616,"Number of vacant housing units","Number of vacant housing units",NA,NA,"110",NA,NA,NA
617,"Number of renter-occupied housing units","Number of renter-occupied housing units",NA,NA,"110",NA,NA,NA
618,"Number of mobile-home housing units","Number of mobile-home housing units",NA,NA,"110",NA,NA,NA
619,"Number of housing units with no vehicle available","Number of housing units with no vehicle available",NA,NA,"110",NA,NA,NA
620,"Number of people living in group quarters","Number of people living in group quarters",NA,NA,"110",NA,NA,NA
621,"Percent of land covered by water","Percent of land covered by water",NA,NA,"134",NA,NA,NA
638,"Percent of housing units with 10 or more units","Percent of housing units with 10 or more units",NA,NA,"110",NA,NA,NA
639,"Percent of housing units with more people than rooms","Percent of housing units with more people than rooms",NA,NA,"110",NA,NA,NA
640,"Percent of vacant housing units","Percent of vacant housing units",NA,NA,"110",NA,NA,NA
641,"Percent of renter-occupied housing units","Percent of renter-occupied housing units",NA,NA,"110",NA,NA,NA
642,"Percent of mobile-home housing units","Percent of mobile-home housing units",NA,NA,"110",NA,NA,NA
643,"Percent of housing units with no vehicle available","Percent of housing units with no vehicle available",NA,NA,"110",NA,NA,NA
644,"Percent population living in group quarters","Percent population living in group quarters",NA,NA,"110",NA,NA,NA
645,"Percent of population by demographic group","Percent of Population",NA,NA,"52",NA,NA,NA
647,"Number of hospitalizations for COPD among persons 25 and over","Number of hospitalizations for COPD",NA,NA,"129",NA,NA,NA
648,"Crude rate of hospitalizations for COPD among persons 25 and over per 10,000 population ","Crude rate of hospitalizations for COPD",NA,NA,"129",NA,NA,NA
649,"Age-adjusted rate of hospitalizations for COPD among persons 25 and over per 10,000 population","Age-adjusted rate of hospitalizations for COPD",NA,NA,"129",NA,NA,NA
650,"Number of emergency department visits for COPD among persons 25 and over ","Number of emergency department visits for COPD",NA,NA,"130",NA,NA,NA
651,"Crude rate of emergency department visits  among persons 25 and over for COPD per 10,000 population","Crude rate of emergency department visits for COPD",NA,NA,"130",NA,NA,NA
652,"Age-adjusted rate of emergency department visits  persons 25 and over for COPD per 10,000 population","Age-adjusted rate of emergency department visits for COPD",NA,NA,"130",NA,NA,NA
653,"Average annual number of cases of Cleft Lip with Cleft Palate among live births over a five year period","Average annual number of cases over a 5 year period",NA,NA,"116",NA,NA,NA
654,"Average annual number of cases of Cleft Lip without Cleft Palate among live births over a five year period","Average annual number of cases over a 5 year period",NA,NA,"117",NA,NA,NA
655,"Average annual number of cases of Limb Deficiencies Combined among live births over a five year period","Average annual number of cases over a 5 year period",NA,NA,"118",NA,NA,NA
656,"Prevalence of Cleft Lip with Cleft Palate per 10,000 live births over a five year period","Prevalence per 10,000 live births over five year period",NA,NA,"116",NA,NA,NA
657,"Prevalence of Cleft Lip without Cleft Palate per 10,000 live births over a five year period","Prevalence per 10,000 live births over five year period",NA,NA,"117",NA,NA,NA
658,"Prevalence of Limb Deficiencies Combined per 10,000 live births over a five year period","Prevalence per 10,000 live births over five year period",NA,NA,"118",NA,NA,NA
672,"Percent of adults aged >=18 years with chronic kidney disease","Percent of chronic kidney dieseas",NA,NA,"124",NA,NA,NA
674,"Percent of adults age >= 18 years with chronic obstructive pulmonary disease (COPD)","Percent of COPD",NA,NA,"125",NA,NA,NA
674,"Percent of adults age >= 18 years with chronic obstructive pulmonary disease (COPD)","Percent of COPD",NA,NA,"124",NA,NA,NA
676,"Percent of adults aged >=18 years with coronary heart disease","Percent of coronary heart disease",NA,NA,"122",NA,NA,NA
676,"Percent of adults aged >=18 years with coronary heart disease","Percent of coronary heart disease",NA,NA,"124",NA,NA,NA
678,"Percent of adults aged >=18 years with current asthma","Percent of current asthma",NA,NA,"126",NA,NA,NA
678,"Percent of adults aged >=18 years with current asthma","Percent of current asthma",NA,NA,"124",NA,NA,NA
680,"Percent of adults aged >=18 years with diagnosed diabetes","Percent of diabetes",NA,NA,"124",NA,NA,NA
682,"Percent of adults aged >=18 years with high blood pressure","Percent of high blood pressure",NA,NA,"124",NA,NA,NA
684,"Percent of adults aged >=18 years who have been screened in the past 5 years with high cholesterol","Percent of high cholesterol",NA,NA,"124",NA,NA,NA
686,"Percent of adults aged >= 18 years with  mental health not good for >=14 days","Percent of mental health not good for >=14 days",NA,NA,"124",NA,NA,NA
688,"Percent of adults aged >= 18 years with physical health not good for >=14 days","Percent of physical health not good for >=14 days",NA,NA,"124",NA,NA,NA
690,"Percent of adults aged >= 18 to = 64 years with current lack of health insurance","Percent of lack of health insurance",NA,NA,"124",NA,NA,NA
