"measure_ID","measure_name","measure_shortName","indicator_ID","indicator_name","indicator_shortName","content_area_ID","content_area_name","content_area_shortName"
692,"Percent of adults aged >= 18 years with current smoking","Percent of current smoking",NA,NA,"127",NA,NA,NA
694,"Percent of adults aged >= 18 years with obesity","Percent of obesity",NA,NA,"128",NA,NA,NA
696,"Percent of adults aged >= 18 years with no leisure-time physical activity","Percent of physical activity",NA,NA,"123",NA,NA,NA
698,"Number of workers over 16 years that used active transportation","Number of workers that used active transportation",NA,NA,"56",NA,NA,NA
699,"Percent of workers over 16 years that used active transportation","Percent of workers that used active transportation",NA,NA,"56",NA,NA,NA
700,"Number of workers over 16 years that used car, truck, van","Number of workers that used car, truck, van",NA,NA,"56",NA,NA,NA
701,"Percent of workers over 16 years that used car, truck, van","Percent of workers that used car, truck, van",NA,NA,"56",NA,NA,NA
702,"Number of workers over 16 years that worked at home","Number of workers that worked at home",NA,NA,"56",NA,NA,NA
703,"Percent of workers over 16 years that worked at home","Percent of workers that worked at home",NA,NA,"56",NA,NA,NA
704,"Number of deaths from COPD among persons 25 and over","Number of deaths from COPD",NA,NA,"121",NA,NA,NA
705,"Crude death rate  from COPD among persons 25 and over per 100,000 population","Crude mortality from COPD",NA,NA,"121",NA,NA,NA
706,"Age-adjusted death rate  from COPD among persons 25 and over per 100,000 population","Age-adjusted mortality from COPD",NA,NA,"121",NA,NA,NA
707,"Number of months of mild drought or worse per year","Number of months of drought per year",NA,NA,"131",NA,NA,NA
708,"Maximum number of consecutive months of mild drought or worse","Maximum consecutive months of drought",NA,NA,"131",NA,NA,NA
709,"Number of weeks of moderate drought or worse per year","Number of weeks of drought per year",NA,NA,"132",NA,NA,NA
710,"Maximum number of consecutive weeks of moderate drought or worse","Maximum consecutive weeks of drought",NA,NA,"132",NA,NA,NA
711,"Average one-way commute time (minutes) for workers 16 years and older for all travel modes","Average one-way commute time (minutes) for workers 16 years and older for all travel modes",NA,NA,"133",NA,NA,NA
712,"Number of workers 16 years and older driving 20+ minutes to work (car, truck, van)","Number of workers driving 20+ minutes to work",NA,NA,"133",NA,NA,NA
713,"Percent of workers 16 years and older driving 20+ minutes to work (car, truck, van)","Percent of workers driving 20+ minutes to work",NA,NA,"133",NA,NA,NA
714,"Number of workers 16 years and older taking public transportation 45+ minutes to work","Number of workers taking public transportation 45+ minutes to work",NA,NA,"133",NA,NA,NA
715,"Percent of workers 16 years and older taking public transportation 45+ minutes to work","Percent of workers taking public transportation 45+ minutes to work",NA,NA,"133",NA,NA,NA
716,"Number of workers 16 years and older walking 10+ minutes to work","Number of workers walking 10+ minutes to work",NA,NA,"133",NA,NA,NA
717,"Percent of workers 16 years and older walking 10+ minutes to work","Percent of workers walking 10+ minutes to work",NA,NA,"133",NA,NA,NA
718,"Classification of county from rural to urban (two category scale)","Classification of county from rural to urban (two category scale)",NA,NA,"111",NA,NA,NA
719,"Classification of county from rural to urban (six category scale)","Classification of county from rural to urban (six category scale)",NA,NA,"111",NA,NA,NA
720,"Average percent of developed imperviousness","Average percent of developed imperviousness",NA,NA,"134",NA,NA,NA
721,"Annual average sunlight exposure measured by solar irradiance (kJ/m2)","Annual average sunlight exposure measured by solar irradiance (kJ/m2)",NA,NA,"135",NA,NA,NA
722,"Monthly average sunlight exposure measured by solar irradiance (kJ/m2)","Monthly average sunlight exposure measured by solar irradiance (kJ/m2)",NA,NA,"135",NA,NA,NA
723,"Annual average daily dose of UV irradiance (J/m2)","Annual average daily dose of UV irradiance (J/m2)",NA,NA,"136",NA,NA,NA
724,"Monthly average daily dose of UV irradiance (J/m2)","Monthly average daily dose of UV irradiance (J/m2)",NA,NA,"136",NA,NA,NA
725,"Annual average UV irradiance at noon (mW/m2)","Annual average UV irradiance at noon (mW/m2)",NA,NA,"136",NA,NA,NA
726,"Monthly average UV irradiance at noon (mW/m2)","Monthly average UV irradiance at noon (mW/m2)",NA,NA,"136",NA,NA,NA
727,"Average annual number of perinatal (>= 28 weeks gestation to < 7 days of age) deaths over 5 years","5 year average perinatal deaths",NA,NA,"15",NA,NA,NA
728,"Average annual perinatal (>= 28 weeks gestation to < 7 days of age) mortality rate per 1,000 live births and fetal deaths over 5 years","5 year average perinatal mortality rate",NA,NA,"15",NA,NA,NA
731,"Areas and populations vulnerable to predicted surface smoke from wildland fires","Areas and populations vulnerable to predicted surface smoke from wildland fires",NA,NA,"138",NA,NA,NA
733,"Community Water Systems (CWS) with exceedances of PFOA + PFOS combined.","Community Water Systems (CWS) with exceedances of PFOA + PFOS combined",NA,NA,"139",NA,NA,NA
734,"Community water systems (CWS) with detections of PFOS, PFAS, PFNA, PFBS, PFHxS, PFHpA","Community water systems (CWS) with detections of PFOS, PFAS, PFNA, PFBS, PFHxS, PFHpA",NA,NA,"139",NA,NA,NA
735,"Community water systems (CWS) that sampled for PFAS chemicals","Community water systems (CWS) that sampled for PFAS chemicals",NA,NA,"139",NA,NA,NA
736,"Free Thyroxine (FT4) concentrations in serum, ng/dL","Free Thyroxine (FT4) concentrations in serum, ng/dL",NA,NA,"140",NA,NA,NA
737,"Total Thyroxine (TT4) concentrations in serum, µg/mL","Total Thyroxine (TT4) concentrations in serum, µg/mL",NA,NA,"140",NA,NA,NA
738,"Free Triiodothyronine (FT3) concentrations in serum, pg/mL","Free Triiodothyronine (FT3) concentrations in serum, pg/mL",NA,NA,"140",NA,NA,NA
739,"Total Triiodothyronine (TT3) concentrations in serum, ng/dL","Total Triiodothyronine (TT3) concentrations in serum, ng/dL",NA,NA,"140",NA,NA,NA
740,"Thyroid Stimulating Hormone (TSH) concentrations in serum, uIU/mL","Thyroid Stimulating Hormone (TSH) concentrations in serum, uIU/mL",NA,NA,"140",NA,NA,NA
741,"Iodine concentrations in urine","Iodine concentrations in urine",NA,NA,"140",NA,NA,NA
742,"Number of buildings tested","Number of buildings tested",NA,NA,"141",NA,NA,NA
743,"Number of pre-mitigation radon tests by radon level","Number of pre-mitigation radon tests by radon level",NA,NA,"141",NA,NA,NA
744,"Number of post-mitigation radon tests by radon level","Number of post-mitigation radon tests by radon level",NA,NA,"141",NA,NA,NA
745,"Percent of pre-mitigation radon tests by radon level","Percent of pre-mitigation radon tests by radon level",NA,NA,"141",NA,NA,NA
746,"Percent of post-mitigation radon tests by radon level","Percent of post-mitigation radon tests by radon level",NA,NA,"141",NA,NA,NA
747,"Median pre-mitigation radon level in tested buildings","Median pre-mitigation radon level in tested buildings",NA,NA,"141",NA,NA,NA
748,"Maximum pre-mitigation radon level in tested buildings","Maximum pre-mitigation radon level in tested buildings",NA,NA,"141",NA,NA,NA
751,"Annual number of cases of Testicular Cancer","Annual number of cases",NA,NA,"142",NA,NA,NA
752,"Age-adjusted incidence rate of Testicular Cancer per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"142",NA,NA,NA
753,"Average annual number of cases of Testicular Cancer over a five year period","Average annual number of cases over a 5 year period",NA,NA,"142",NA,NA,NA
754,"Age-adjusted incidence rate of Testicular Cancer per 100,000 population over a five year period","Age-adjusted rate per 100,000 population over a 5 year period",NA,NA,"142",NA,NA,NA
765,"Number of community water systems (CWS) by mean Arsenic concentrations (micrograms per liter), by year","Number of CWS by annual mean Arsenic concentrations (µg/L)",NA,NA,"42",NA,NA,NA
766,"Number of people served by community water systems (CWS) by mean Arsenic concentrations (micrograms per liter), by year","Population served by CWS by annual mean Arsenic concentrations (µg/L)",NA,NA,"42",NA,NA,NA
767,"Number of community water systems (CWS) by maximum Arsenic concentrations (micrograms per liter), by year","Number of CWS by annual maximum Arsenic concentrations (µg/L)",NA,NA,"42",NA,NA,NA
768,"Number of people served by community water systems (CWS) by maximum Arsenic concentrations (micrograms per liter), by year","Population served by CWS by annual maximum Arsenic concentrations (µg/L)",NA,NA,"42",NA,NA,NA
769,"Mean concentration of Arsenic (micrograms per liter) by year","Annual mean Arsenic concentrations (µg/L)",NA,NA,"42",NA,NA,NA
770,"Number of community water systems (CWS) by mean Nitrate concentrations (milligrams per liter), by year","Number of CWS by annual mean Nitrate concentrations (mg/L) ",NA,NA,"44",NA,NA,NA
771,"Number of people served by community water systems (CWS)  by mean Nitrate concentrations (milligrams per liter), by year","Population served by CWS by annual mean Nitrate concentrations (mg/L)",NA,NA,"44",NA,NA,NA
772,"Number of community water systems (CWS) by maximum Nitrate concentrations (milligrams per liter), by year","Number of CWS by annual maximum Nitrate concentrations (mg/L)",NA,NA,"44",NA,NA,NA
773,"Number of people served by community water systems (CWS) by maximum Nitrate concentrations (milligrams per liter), by year","Population served by CWS by annual maximum Nitrate concentrations (mg/L)",NA,NA,"44",NA,NA,NA
774,"Number of community water systems (CWS) by mean Nitrate concentrations (milligrams per liter, by quarter","Number of CWS by quarterly mean Nitrate concentrations (mg/L)",NA,NA,"44",NA,NA,NA
775,"Number of people served by community water systems (CWS) by mean Nitrate concentrations (milligrams per liter, by quarter","Population served by CWS by quarterly mean Nitrate concentrations (mg/L)",NA,NA,"44",NA,NA,NA
776,"Mean concentration of Nitrate (milligrams per liter) by year","Annual mean Nitrate concentrations (mg/L)",NA,NA,"44",NA,NA,NA
777,"Number of community water systems (CWS) by mean total trihalomethanes (TTHM) concentrations (micrograms per liter), by year","Number of CWS by annual mean TTHM concentrations (µg/L)",NA,NA,"43",NA,NA,NA
778,"Number of people served by community water systems (CWS) by mean total trihalomethane (TTHM) concentrations (micrograms per liter), by year","Population served by CWS by annual mean TTHM concentrations (µg/L) ",NA,NA,"43",NA,NA,NA
779,"Number of community water systems (CWS) by maximum total trihalomethane (TTHM) concentrations (micrograms per liter), by year","Number of CWS by annual maximum TTHM concentrations (µg/L)",NA,NA,"43",NA,NA,NA
780,"Number of people served by community water systems (CWS) by maximum total trihalomethane (TTHM) concentrations (micrograms per liter), by year","Population served by CWS by annual maximum TTHM concentrations (µg/L)",NA,NA,"43",NA,NA,NA
781,"Number of community water systems (CWS) by mean total trihalomethane concentrations (micrograms per liter), by quarter","Number of CWS by quarterly mean TTHM concentrations (µg/L)",NA,NA,"43",NA,NA,NA
782,"Number of people served by community water systems (CWS) by mean total trihalomethane (TTHM) concentrations (micrograms per liter), by quarter","Population served by CWS by quarterly mean TTHM concentrations (µg/L)",NA,NA,"43",NA,NA,NA
783,"Mean concentration of TTHM (micrograms per liter) by year","Annual mean TTHM concentrations (µg/L)",NA,NA,"43",NA,NA,NA
784,"Number of community water systems (CWS) by mean haloacetic acids (HAA5) concentrations (micrograms per liter), by year","Number of CWS by annual mean HAA5 concentrations (µg/L)",NA,NA,"43",NA,NA,NA
785,"Number of people served by community water systems (CWS) by mean haloacetic acids (HAA5) concentrations (micrograms per liter), by year","Population served by CWS by annual mean HAA5 concentrations (µg/L) ",NA,NA,"43",NA,NA,NA
786,"Number of community water systems (CWS) by maximum haloacetic acids (HAA5) concentrations (micrograms per liter), by year","Number of CWS by annual maximum HAA5 concentrations (µg/L)",NA,NA,"43",NA,NA,NA
787,"Number of people served by community water systems (CWS) by maximum haloacetic acids (HAA5) concentrations (micrograms per liter), by year","Population served by CWS by annual maximum HAA5 concentrations (µg/L)",NA,NA,"43",NA,NA,NA
788,"Number of  community water systems (CWS) by mean haloacetic acids concentrations (micrograms per liter), by quarter","Number of CWS by quarterly mean HAA concentrations (µg/L)",NA,NA,"43",NA,NA,NA
789,"Number of people served by community water systems (CWS) by mean haloacetic acids (HAA5) concentrations (micrograms per liter), by quarter","Population served by CWS by quarterly mean HAA5 concentrations (µg/L)",NA,NA,"43",NA,NA,NA
790,"Mean concentration of HAA5 (micrograms per liter) by year","Annual mean HAA5 concentrations (µg/L)",NA,NA,"43",NA,NA,NA
791,"Number of community water systems (CWS) by mean Atrazine concentrations (micrograms per liter), by year","Number of CWS by annual mean Atrazine concentrations (µg/L)",NA,NA,"82",NA,NA,NA
792,"Number of people served by community water systems (CWS) by mean Atrazine concentrations (micrograms per liter), by year","Population served by CWS by annual mean Atrazine concentrations (µg/L) ",NA,NA,"82",NA,NA,NA
793,"Number of community water systems (CWS) by maximum Atrazine concentrations (micrograms per liter), by year","Number of CWS by annual maximum Atrazine concentrations (µg/L)",NA,NA,"82",NA,NA,NA
794,"Number of people served by community water systems (CWS) by maximum Atrazine concentrations (micrograms per liter), by year","",NA,NA,"82",NA,NA,NA
795,"Number of community water systems (CWS) by mean Atrazine concentrations (micrograms per liter), by quarter","Number of CWS by quarterly mean Atrazine concentrations (µg/L)",NA,NA,"82",NA,NA,NA
796,"Number of people served by community water systems (CWS) by mean Atrazine concentrations (micrograms per liter), by quarter","Population served by mean quarterly Atrazine concentrations (µg/L)",NA,NA,"82",NA,NA,NA
797,"Mean concentration of Atrazine (micrograms per liter) by year","Annual mean Atrazine concentrations (µg/L)",NA,NA,"82",NA,NA,NA
798,"Number of community water systems (CWS) by mean DEHP concentrations (micrograms per liter), by year","Number of CWS by annual mean DEHP concentrations (µg/L)",NA,NA,"83",NA,NA,NA
799,"Number of people served by community water systems (CWS) by mean DEHP concentrations (micrograms per liter), by year","Population served by CWS by annual mean DEHP concentrations (µg/L)",NA,NA,"83",NA,NA,NA
800,"Number of community water systems (CWS) by maximum DEHP concentrations (micrograms per liter), by year","Number of CWS by annual maximum DEHP concentrations (µg/L)",NA,NA,"83",NA,NA,NA
801,"Number of people served by community water systems (CWS) by maximum DEHP concentrations (micrograms per liter), by year","Population served by annual maximum DEHP concentrations (µg/L)",NA,NA,"83",NA,NA,NA
802,"Mean concentration of DEHP (micrograms per liter) by year","Annual mean DEHP concentrations (µg/L)",NA,NA,"83",NA,NA,NA
803,"Number of community water systems (CWS) by mean PCE concentrations (micrograms per liter), by year","Number of CWS by annual mean PCE concentrations (µg/L)",NA,NA,"84",NA,NA,NA
804,"Number of people served by community water systems (CWS) by mean PCE concentrations (micrograms per liter), by year","Population served by CWS by annual mean PCE concentrations (µg/L)",NA,NA,"84",NA,NA,NA
805,"Number of community water systems (CWS) by maximum PCE concentrations (micrograms per liter), by year","Number of CWS by annual maximum PCE concentrations (µg/L)",NA,NA,"84",NA,NA,NA
806,"Number of people served by community water systems (CWS) by maximum PCE concentrations (micrograms per liter), by year","Population served by annual maximum PCE concentrations (µg/L)",NA,NA,"84",NA,NA,NA
807,"Mean concentration of PCE (micrograms per liter) by year","Annual mean PCE concentrations (µg/L)",NA,NA,"84",NA,NA,NA
808,"Number of community water systems (CWS) by mean TCE concentrations (micrograms per liter), by year","Number of CWS by annual mean TCE concentrations (µg/L)",NA,NA,"85",NA,NA,NA
809,"Number of people served by community water systems (CWS) by mean TCE concentrations (micrograms per liter), by year","Population served by CWS by annual mean TCE concentrations (µg/L)",NA,NA,"85",NA,NA,NA
810,"Number of community water systems (CWS) by maximum TCE concentrations (micrograms per liter), by year","Number of CWS by annual maximum TCE concentrations (µg/L)",NA,NA,"85",NA,NA,NA
811,"Number of people served by community water systems (CWS) by maximum TCE concentrations (micrograms per liter), by year","Population served by annual maximum TCE concentrations (µg/L)",NA,NA,"85",NA,NA,NA
812,"Mean concentration of TCE (micrograms per liter) by year","Annual mean TCE concentrations (µg/L)",NA,NA,"85",NA,NA,NA
813,"Number of community water systems (CWS) by mean Radium concentrations (picoCuries/per liter), by year","Number of CWS by annual mean Radium concentrations (pCi/L) ",NA,NA,"86",NA,NA,NA
814,"Number of people served by community water systems (CWS) by mean Radium concentrations (picoCuries per liter), by year","Population served by CWS by annual mean Radium concentrations (pCi/L)",NA,NA,"86",NA,NA,NA
815,"Number of community water systems (CWS) by maximum Radium concentrations (picoCuries per liter), by year","Number of CWS by annual maximum Radium concentrations (pCi/L)",NA,NA,"86",NA,NA,NA
816,"Number of people served by community water systems (CWS) by maximum Radium concentrations (picoCuries per liter), by year","Population served by CWS by annual maximum Radium concentrations (pCi/L)",NA,NA,"86",NA,NA,NA
817,"Mean concentration of Radium (picoCuries per liter) by year","Annual mean Radium concentrations (pCi/L)",NA,NA,"86",NA,NA,NA
818,"Number of community water systems (CWS) by mean Uranium concentrations (micrograms per liter), by year","Number of CWS by annual mean Uranium concentrations (µg/L)",NA,NA,"87",NA,NA,NA
819,"Number of people served by community water systems (CWS) by mean Uranium concentrations (micrograms per liter), by year","Population served by annual mean Uranium concentrations (µg/L)",NA,NA,"87",NA,NA,NA
820,"Number of community water systems (CWS) by maximum Uranium concentrations (micrograms per liter), by year","Number of CWS by annual maximum Uranium concentrations (µg/L)",NA,NA,"87",NA,NA,NA
821,"Number of people served by community water systems (CWS) by maximum Uranium concentrations (micrograms per liter), by year","Population served by annual maximum Uranium concentrations (µg/L)",NA,NA,"87",NA,NA,NA
822,"Mean concentration of Uranium (micrograms per liter) by year","Annual mean Uranium concentrations (µg/L)",NA,NA,"87",NA,NA,NA
823,"Metals and Metalloids in urine 1999-2014","Metals and Metalloids in urine 1999-2014",NA,NA,"143",NA,NA,NA
824,"Metals and Metalloids in urine 2015-2016","Metals and Metalloids in urine 2015-2016",NA,NA,"143",NA,NA,NA
825,"Metals in blood","Metals in blood",NA,NA,"143",NA,NA,NA
826,"Perfluoroalkyl and Polyfluoroalkyl Substances: Surfactants in blood","Perfluoroalkyl and Polyfluoroalkyl Substances: Surfactants in blood",NA,NA,"143",NA,NA,NA
827,"Personal Care and Consumer Products Metabolites in urine","Personal Care and Consumer Products Metabolites in urine",NA,NA,"143",NA,NA,NA
828,"Pesticide Metabolites: Organophosphorus Metabolites in urine","Pesticide Metabolites: Organophosphorus Metabolites in urine",NA,NA,"143",NA,NA,NA
829,"Pesticide Metabolites: Pyrethroid Metabolites in urine","Pesticide Metabolites: Pyrethroid Metabolites in urine",NA,NA,"143",NA,NA,NA
830,"Polycyclic Aromatic Hydrocarbons in urine","Polycyclic Aromatic Hydrocarbons in urine",NA,NA,"143",NA,NA,NA
831,"Phthalate Metabolites in urine","Phthalate Metabolites in urine",NA,NA,"143",NA,NA,NA
832,"Disinfection By-Products in blood 2001-2004","Disinfection By-Products in blood 2001-2004",NA,NA,"143",NA,NA,NA
833,"Disinfection By-Products in blood 2005-2010","Disinfection By-Products in blood 2005-2010",NA,NA,"143",NA,NA,NA
834,"Disinfection By-Products in blood 2011-2014","Disinfection By-Products in blood 2011-2014",NA,NA,"143",NA,NA,NA
835,"Volatile Organic Compounds in blood 2001-2004","Volatile Organic Compounds in blood 2001-2004",NA,NA,"143",NA,NA,NA
836,"Volatile Organic Compounds in blood 2005-2010","Volatile Organic Compounds in blood 2005-2010",NA,NA,"143",NA,NA,NA
837,"Volatile Organic Compounds in blood 2011-2014","Volatile Organic Compounds in blood 2011-2014",NA,NA,"143",NA,NA,NA
838,"Tobacco Metabolite in blood","Tobacco Metabolite in blood",NA,NA,"143",NA,NA,NA
839,"Number of fatal motor vehicle crashes","Number of fatal motor vehicle crashes",NA,NA,"70",NA,NA,NA
840,"Rate of fatal motor vehicle crashes per 100,000 population","Rate of fatal motor vehicle crashes per 100,000 population",NA,NA,"70",NA,NA,NA
841,"Percent of fatal motor vehicle crashes involving cyclists or pedestrians","Percent of fatal motor vehicle crashes involving cyclists or pedestrians",NA,NA,"70",NA,NA,NA
842,"Location of all fatal motor vehicle crashes","Location of fatal motor vehicle crashes",NA,NA,"70",NA,NA,NA
843,"Number of buildings tested by year","Number of buildings tested",NA,NA,"144",NA,NA,NA
852,"Number of hospital beds","Number of hospital beds",NA,NA,"104",NA,NA,NA
852,"Number of hospital beds","Number of hospital beds",NA,NA,"145",NA,NA,NA
853,"Number of hospital beds per 10,000 population","Number of hospital beds per 10,000 population",NA,NA,"104",NA,NA,NA
853,"Number of hospital beds per 10,000 population","Number of hospital beds per 10,000 population",NA,NA,"145",NA,NA,NA
854,"Percent of hospitals within flood hazard area","Percent of hospitals within flood hazard area",NA,NA,"106",NA,NA,NA
854,"Percent of hospitals within flood hazard area","Percent of hospitals within flood hazard area",NA,NA,"104",NA,NA,NA
854,"Percent of hospitals within flood hazard area","Percent of hospitals within flood hazard area",NA,NA,"145",NA,NA,NA
855,"Percent of hospital beds within flood hazard area","Percent of hospital beds within flood hazard area",NA,NA,"106",NA,NA,NA
855,"Percent of hospital beds within flood hazard area","Percent of hospital beds within flood hazard area",NA,NA,"104",NA,NA,NA
855,"Percent of hospital beds within flood hazard area","Percent of hospital beds within flood hazard area",NA,NA,"145",NA,NA,NA
856,"Metals and Metalloids in urine 1999-2014 (creatinine corrected)","Metals and Metalloids in urine 1999-2014 (creatinine corrected)",NA,NA,"143",NA,NA,NA
857,"Metals and Metalloids in urine 2015-2016 (creatinine corrected)","Metals and Metalloids in urine 2015-2016 (creatinine corrected)",NA,NA,"143",NA,NA,NA
858,"Lead in blood","Lead in blood",NA,NA,"143",NA,NA,NA
859,"Personal Care and Consumer Products Metabolites in urine (creatinine corrected)","Personal Care and Consumer Products Metabolites in urine (creatinine corrected)",NA,NA,"143",NA,NA,NA
860,"Pesticide Metabolites: Organophosphorus Metabolites in urine (creatinine corrected)","Pesticide Metabolites: Organophosphorus Metabolites in urine (creatinine corrected)",NA,NA,"143",NA,NA,NA
861,"Pesticide Metabolites: Pyrethroid Metabolites in urine (creatinine corrected)","Pesticide Metabolites: Pyrethroid Metabolites in urine (creatinine corrected)",NA,NA,"143",NA,NA,NA
862,"Polycyclic Aromatic Hydrocarbons in urine (creatinine corrected)","Polycyclic Aromatic Hydrocarbons in urine (creatinine corrected)",NA,NA,"143",NA,NA,NA
863,"Phthalate Metabolites in urine (creatinine corrected)","Phthalate Metabolites in urine (creatinine corrected)",NA,NA,"143",NA,NA,NA
864,"Number of buildings tested per 10 years","Number of buildings tested over 10 years",NA,NA,"144",NA,NA,NA
865,"Rate of housing units tested, per 10,000 units","Rate of housing units tested over 10 years",NA,NA,"144",NA,NA,NA
866,"Number of pre-mitigation radon tests by radon level","Number of pre-mitigation radon tests by radon level over 10 years",NA,NA,"144",NA,NA,NA
867,"Number of post-mitigation radon tests by radon level","Number of post-mitigation radon tests by radon level over 10 years",NA,NA,"144",NA,NA,NA
868,"Percent of pre-mitigation radon tests by radon level","Percent of pre-mitigation radon tests by radon level over 10 years",NA,NA,"144",NA,NA,NA
869,"Percent of post-mitigation radon tests by radon level","Percent of post-mitigation radon tests by radon level over 10 years",NA,NA,"144",NA,NA,NA
870,"Median pre-mitigation radon level in tested buildings","Median pre-mitigation radon level in tested buildings over 10 years",NA,NA,"144",NA,NA,NA
871,"Maximum pre-mitigation radon level in tested buildings","Maximum pre-mitigation radon level in tested buildings over 10 years",NA,NA,"144",NA,NA,NA
872,"Location of fatal motor vehicle crashes by crash type","Location of fatal motor vehicle crashes",NA,NA,"70",NA,NA,NA
873,"Number of community water systems","Number of CWS",NA,NA,"41",NA,NA,NA
876,"Number of people with access to a computer with internet, but no cell phone","Number of people with access to a computer with internet, but no cell phone",NA,NA,"146",NA,NA,NA
877,"Percent of people with access to a computer with internet, but no cell phone","Percent of people with access to a computer with internet, but no cell phone",NA,NA,"146",NA,NA,NA
878,"Number of households with a smartphone","Number of households with a smartphone",NA,NA,"146",NA,NA,NA
879,"Percent of households with a smartphone","Percent of households with a smartphone",NA,NA,"146",NA,NA,NA
880,"Number of households with a smartphone, but no other device","Number of households with a smartphone, but no other device",NA,NA,"146",NA,NA,NA
881,"Percent of households with a smartphone, but no other device","Percent of households with a smartphone, but no other device",NA,NA,"146",NA,NA,NA
882,"Number of households with no internet access","Number of households with no internet access",NA,NA,"146",NA,NA,NA
883,"Percent of households with no internet access","Percent of households with no internet access",NA,NA,"146",NA,NA,NA
884,"Number of unemployed people aged 16+ years who have a computer without internet subscription","Number of unemployed people aged 16+ years who have a computer without internet subscription",NA,NA,"146",NA,NA,NA
885,"Percent of unemployed people aged 16+ years who have a computer without internet subscription","Percent of unemployed people aged 16+ years who have a computer without internet subscription",NA,NA,"146",NA,NA,NA
886,"Number of people age 65+ years who have a computer without internet subscription","Number of people age 65+ years who have a computer without internet subscription",NA,NA,"146",NA,NA,NA
887,"Percent of people age 65+ years who have a computer without internet subscription","Percent of people age 65+ years who have a computer without internet subscription",NA,NA,"146",NA,NA,NA
888,"Number of people age 25+ years, with low education who have a computer without internet subscription","Number of people age 25+ years, with low education who have a computer without internet subscription",NA,NA,"146",NA,NA,NA
889,"Percent of people age 25+ years, with low education who have a computer without internet subscription","Percent of people age 25+ years, with low education who have a computer without internet subscription",NA,NA,"146",NA,NA,NA
890,"Number of households with income less than $20,000 without an internet subscription","Number of households with income less than $20,000 without an internet subscription",NA,NA,"146",NA,NA,NA
891,"Percent of households with income less than $20,000 without an internet subscription","Percent of households with income less than $20,000 without an internet subscription",NA,NA,"146",NA,NA,NA
892,"Community water systems (CWS) with detections of Perchlorate","CWS with detections of Perchlorate",NA,NA,"147",NA,NA,NA
